,Date,close
0,2004-06-15,0.682
1,2004-06-16,0.765
2,2004-06-17,0.779
3,2004-06-18,0.742
4,2004-06-21,0.737
5,2004-06-22,0.737
6,2004-06-23,0.816
7,2004-06-24,0.825
8,2004-06-25,0.811
9,2004-06-28,0.793
10,2004-06-29,0.797
11,2004-06-30,0.793
12,2004-07-01,0.793
13,2004-07-02,0.802
14,2004-07-05,0.807
15,2004-07-06,0.811
16,2004-07-07,0.788
17,2004-07-08,0.756
18,2004-07-09,0.751
19,2004-07-12,0.733
20,2004-07-13,0.742
21,2004-07-14,0.696
22,2004-07-15,0.678
23,2004-07-16,0.682
24,2004-07-19,0.696
25,2004-07-20,0.691
26,2004-07-21,0.701
27,2004-07-22,0.654
28,2004-07-23,0.65
29,2004-07-26,0.622
30,2004-07-27,0.687
31,2004-07-28,0.678
32,2004-07-29,0.691
33,2004-07-30,0.71
34,2004-08-02,0.714
35,2004-08-03,0.733
36,2004-08-04,0.714
37,2004-08-05,0.733
38,2004-08-06,0.737
39,2004-08-09,0.737
40,2004-08-10,0.714
41,2004-08-11,0.682
42,2004-08-12,0.691
43,2004-08-13,0.691
44,2004-08-16,0.691
45,2004-08-17,0.682
46,2004-08-18,0.687
47,2004-08-19,0.682
48,2004-08-20,0.687
49,2004-08-23,0.673
50,2004-08-24,0.664
51,2004-08-25,0.645
52,2004-08-26,0.627
53,2004-08-27,0.645
54,2004-08-30,0.645
55,2004-08-31,0.673
56,2004-09-01,0.668
57,2004-09-02,0.668
58,2004-09-03,0.664
59,2004-09-06,0.673
60,2004-09-07,0.696
61,2004-09-08,0.687
62,2004-09-09,0.673
63,2004-09-10,0.682
64,2004-09-13,0.641
65,2004-09-14,0.664
66,2004-09-15,0.696
67,2004-09-16,0.719
68,2004-09-17,0.71
69,2004-09-20,0.71
70,2004-09-21,0.71
71,2004-09-22,0.705
72,2004-09-23,0.714
73,2004-09-24,0.701
74,2004-09-27,0.701
75,2004-09-28,0.701
76,2004-09-29,0.701
77,2004-09-30,0.701
78,2004-10-01,0.701
79,2004-10-04,0.724
80,2004-10-05,0.77
81,2004-10-06,0.788
82,2004-10-07,0.793
83,2004-10-08,0.788
84,2004-10-11,0.825
85,2004-10-12,0.839
86,2004-10-13,0.811
87,2004-10-14,0.816
88,2004-10-15,0.834
89,2004-10-18,0.848
90,2004-10-19,0.843
91,2004-10-20,0.807
92,2004-10-21,0.793
93,2004-10-22,0.793
94,2004-10-25,0.774
95,2004-10-26,0.77
96,2004-10-27,0.82
97,2004-10-28,0.857
98,2004-10-29,0.843
99,2004-11-01,0.843
100,2004-11-02,0.88
101,2004-11-03,0.866
102,2004-11-04,0.82
103,2004-11-05,0.834
104,2004-11-08,0.83
105,2004-11-09,0.839
106,2004-11-10,0.843
107,2004-11-11,0.834
108,2004-11-12,0.853
109,2004-11-15,0.857
110,2004-11-16,0.862
111,2004-11-17,0.931
112,2004-11-18,0.862
113,2004-11-19,0.903
114,2004-11-22,0.94
115,2004-11-23,0.996
116,2004-11-24,0.949
117,2004-11-25,0.968
118,2004-11-26,1.005
119,2004-11-29,1.078
120,2004-11-30,1.088
121,2004-12-01,1.06
122,2004-12-02,1.115
123,2004-12-03,1.078
124,2004-12-06,1.078
125,2004-12-07,1.023
126,2004-12-08,0.996
127,2004-12-09,1.005
128,2004-12-10,1.032
129,2004-12-13,1.051
130,2004-12-14,1.023
131,2004-12-15,1.06
132,2004-12-16,1.06
133,2004-12-17,1.023
134,2004-12-20,0.977
135,2004-12-21,1.023
136,2004-12-22,0.94
137,2004-12-23,0.894
138,2004-12-24,0.917
139,2004-12-27,0.917
140,2004-12-28,0.899
141,2004-12-29,0.871
142,2004-12-30,0.857
143,2004-12-31,0.857
144,2005-01-03,0.857
145,2005-01-04,0.88
146,2005-01-05,0.866
147,2005-01-06,0.866
148,2005-01-07,0.876
149,2005-01-10,0.894
150,2005-01-11,0.88
151,2005-01-12,0.876
152,2005-01-13,0.862
153,2005-01-14,0.876
154,2005-01-17,0.876
155,2005-01-18,0.866
156,2005-01-19,0.857
157,2005-01-20,0.834
158,2005-01-21,0.797
159,2005-01-24,0.82
160,2005-01-25,0.825
161,2005-01-26,0.825
162,2005-01-27,0.82
163,2005-01-28,0.83
164,2005-01-31,0.834
165,2005-02-01,0.862
166,2005-02-02,0.894
