,Date,close
0,2003-04-16,25.02
1,2003-04-17,25.88
2,2003-04-18,25.88
3,2003-04-21,25.88
4,2003-04-22,25.46
5,2003-04-23,24.26
6,2003-04-24,24.33
7,2003-04-25,24.09
8,2003-04-28,23.5
9,2003-04-29,23.26
10,2003-04-30,23.68
11,2003-05-01,23.82
12,2003-05-02,23.52
13,2003-05-05,23.52
14,2003-05-06,23.57
15,2003-05-07,24.11
16,2003-05-08,24.65
17,2003-05-09,25.1
18,2003-05-12,24.89
19,2003-05-13,25.9
20,2003-05-14,26.75
21,2003-05-15,26.73
22,2003-05-16,26.1
23,2003-05-19,25.61
24,2003-05-20,25.65
25,2003-05-21,26.21
26,2003-05-22,25.97
27,2003-05-23,26.24
28,2003-05-26,26.24
29,2003-05-27,26.34
30,2003-05-28,25.59
31,2003-05-29,26.03
32,2003-05-30,26.32
33,2003-06-02,27.38
34,2003-06-03,27.28
35,2003-06-04,26.81
36,2003-06-05,27.44
37,2003-06-06,27.78
38,2003-06-09,27.85
39,2003-06-10,28.08
40,2003-06-11,28.39
41,2003-06-12,27.83
42,2003-06-13,27.46
43,2003-06-16,26.65
44,2003-06-17,26.67
45,2003-06-18,26.26
46,2003-06-19,26.29
47,2003-06-20,27.02
48,2003-06-23,26.93
49,2003-06-24,26.62
50,2003-06-25,27.65
51,2003-06-26,27.04
52,2003-06-27,27.3
53,2003-06-30,28.33
54,2003-07-01,28.31
55,2003-07-02,27.97
56,2003-07-03,28.2
57,2003-07-04,27.63
58,2003-07-07,27.82
59,2003-07-08,27.97
60,2003-07-09,28.71
61,2003-07-10,28.88
62,2003-07-11,29.19
63,2003-07-14,28.96
64,2003-07-15,29.17
65,2003-07-16,28.72
66,2003-07-17,28.62
67,2003-07-18,28.93
68,2003-07-21,28.69
69,2003-07-22,27.49
70,2003-07-23,27.78
71,2003-07-24,28.16
72,2003-07-25,28.18
73,2003-07-28,28.03
74,2003-07-29,28.1
75,2003-07-30,28.5
76,2003-07-31,28.37
77,2003-08-01,29.99
78,2003-08-04,29.53
79,2003-08-05,29.93
80,2003-08-06,29.48
81,2003-08-07,30.25
82,2003-08-08,29.99
83,2003-08-11,29.91
84,2003-08-12,29.87
85,2003-08-13,29.01
86,2003-08-14,28.83
87,2003-08-15,28.81
88,2003-08-18,28.66
89,2003-08-19,28.47
90,2003-08-20,28.84
91,2003-08-21,29.71
92,2003-08-22,29.7
93,2003-08-25,29.7
94,2003-08-26,29.77
95,2003-08-27,29.18
96,2003-08-28,29.44
97,2003-08-29,29.49
98,2003-09-01,29.25
99,2003-09-02,27.52
100,2003-09-03,27.74
101,2003-09-04,27.31
102,2003-09-05,27.21
103,2003-09-08,27.17
104,2003-09-09,27.37
105,2003-09-10,27.52
106,2003-09-11,27.02
107,2003-09-12,26.77
108,2003-09-15,26.7
109,2003-09-16,25.99
110,2003-09-17,25.67
111,2003-09-18,25.59
112,2003-09-19,25.32
113,2003-09-22,25.53
114,2003-09-23,25.52
115,2003-09-24,26.67
116,2003-09-25,26.81
117,2003-09-26,26.64
118,2003-09-29,26.83
119,2003-09-30,27.61
120,2003-10-01,27.88
121,2003-10-02,28.27
122,2003-10-03,28.71
123,2003-10-06,28.89
124,2003-10-07,29.03
125,2003-10-08,28.73
126,2003-10-09,30.14
127,2003-10-10,30.9
128,2003-10-13,30.67
129,2003-10-14,30.69
130,2003-10-15,30.87
131,2003-10-16,31.11
132,2003-10-17,29.03
133,2003-10-20,28.62
134,2003-10-21,28.63
135,2003-10-22,28.28
136,2003-10-23,28.63
137,2003-10-24,28.58
138,2003-10-27,28.39
139,2003-10-28,28.04
140,2003-10-29,27.44
141,2003-10-30,27.1
142,2003-10-31,27.7
143,2003-11-03,27.36
144,2003-11-04,27.16
145,2003-11-05,28.6
146,2003-11-06,28.41
147,2003-11-07,28.91
148,2003-11-10,28.99
149,2003-11-11,29.09
150,2003-11-12,29.2
151,2003-11-13,29.21
152,2003-11-14,29.56
153,2003-11-17,29.05
154,2003-11-18,30.47
155,2003-11-19,29.78
156,2003-11-20,29.56
157,2003-11-21,29.36
158,2003-11-24,27.86
159,2003-11-25,27.94
160,2003-11-26,28.47
161,2003-11-27,28.7
162,2003-11-28,28.45
163,2003-12-01,28.25
164,2003-12-02,28.94
165,2003-12-03,29.14
166,2003-12-04,29.23
167,2003-12-05,28.74
168,2003-12-08,29.98
169,2003-12-09,29.63
170,2003-12-10,29.66
171,2003-12-11,29.57
172,2003-12-12,30.37
173,2003-12-15,30.32
174,2003-12-16,30.38
175,2003-12-17,30.59
176,2003-12-18,30.8
177,2003-12-19,30.05
178,2003-12-22,28.99
179,2003-12-23,29.04
180,2003-12-24,29.06
181,2003-12-25,29.06
182,2003-12-26,29.06
183,2003-12-29,29.31
184,2003-12-30,29.74
185,2003-12-31,30.17
186,2004-01-01,30.17
187,2004-01-02,29.32
188,2004-01-05,30.89
189,2004-01-06,30.82
190,2004-01-07,30.76
191,2004-01-08,31.08
192,2004-01-09,31.37
193,2004-01-12,31.76
194,2004-01-13,31.37
195,2004-01-14,31.03
196,2004-01-15,31.56
197,2004-01-16,30.47
198,2004-01-19,30.57
199,2004-01-20,31.23
200,2004-01-21,30.86
201,2004-01-22,31.11
202,2004-01-23,30.96
203,2004-01-26,30.45
204,2004-01-27,30.23
205,2004-01-28,29.77
206,2004-01-29,29.13
207,2004-01-30,29.18
208,2004-02-02,30.23
209,2004-02-03,29.5
210,2004-02-04,28.88
211,2004-02-05,29.27
212,2004-02-06,28.83
213,2004-02-09,29.11
214,2004-02-10,30.04
215,2004-02-11,29.87
216,2004-02-12,30.07
217,2004-02-13,30.57
218,2004-02-16,30.32
219,2004-02-17,30.69
220,2004-02-18,30.99
221,2004-02-19,30.82
222,2004-02-20,30.69
223,2004-02-23,30.81
224,2004-02-24,30.81
225,2004-02-25,31.57
226,2004-02-26,31.57
227,2004-02-27,32.23
228,2004-03-01,33.34
229,2004-03-02,33.15
230,2004-03-03,32.23
231,2004-03-04,32.89
232,2004-03-05,33.35
233,2004-03-08,32.77
234,2004-03-09,32.23
235,2004-03-10,31.99
236,2004-03-11,32.83
237,2004-03-12,32.24
238,2004-03-15,33.8
239,2004-03-16,33.45
240,2004-03-17,33.53
241,2004-03-18,33.13
242,2004-03-19,33.26
243,2004-03-22,32.8
244,2004-03-23,33.31
245,2004-03-24,33.01
246,2004-03-25,31.83
247,2004-03-26,31.99
248,2004-03-29,31.74
249,2004-03-30,32.45
250,2004-03-31,31.51
251,2004-04-01,31.55
252,2004-04-02,30.21
253,2004-04-05,30.69
254,2004-04-06,31.35
255,2004-04-07,32.45
256,2004-04-08,33.34
257,2004-04-09,33.34
258,2004-04-12,33.34
259,2004-04-13,33.19
260,2004-04-14,33.45
261,2004-04-15,33.12
262,2004-04-16,33.64
263,2004-04-19,33.46
264,2004-04-20,33.11
265,2004-04-21,32.46
266,2004-04-22,33.39
267,2004-04-23,33.09
268,2004-04-26,33.58
269,2004-04-27,34.28
270,2004-04-28,34.31
271,2004-04-29,34.38
272,2004-04-30,34.48
273,2004-05-03,34.48
