,Date,open,close
0,2011-11-16,24.75,25.19
1,2011-11-18,24.43,24.43
2,2011-11-21,26.96,23.69
3,2011-11-23,23.31,23.5
4,2011-11-28,24.17,24.13
5,2011-11-29,24.11,24.25
6,2011-11-30,25.2,25.2
7,2011-12-05,25.89,25.33
8,2011-12-06,25.4,25.4
9,2011-12-07,25.29,25.29
10,2011-12-08,25.25,25.25
11,2011-12-09,25.23,25.48
12,2011-12-12,24.9,24.9
13,2011-12-13,24.59,24.2
14,2011-12-14,23.9,23.4
15,2011-12-15,23.4,23.4
16,2011-12-16,23.77,23.87
17,2011-12-19,23.68,23.4
18,2011-12-20,24.05,24.08
19,2011-12-21,24.12,24.13
20,2011-12-22,24.25,24.38
21,2011-12-23,24.88,24.74
22,2011-12-27,24.36,24.36
23,2011-12-29,23.96,23.99
24,2011-12-30,24.49,24.5
25,2012-01-03,24.95,25.16
26,2012-01-04,24.57,24.4
27,2012-01-05,24.35,24.35
28,2012-01-06,24.42,24.42
29,2012-01-11,25.1,25.22
30,2012-01-12,25.72,25.72
31,2012-01-13,25.87,25.53
32,2012-01-19,26.8,27.03
33,2012-01-20,26.97,26.65
34,2012-01-23,27.05,27.12
35,2012-01-24,26.77,27.06
36,2012-01-25,27.1,27.26
37,2012-01-26,27.69,27.6
38,2012-01-27,27.65,27.7
39,2012-01-30,27.19,27.19
40,2012-01-31,27.41,27.2
41,2012-02-01,27.2,27.3
42,2012-02-02,26.98,26.82
43,2012-02-03,27.2,27.76
44,2012-02-06,27.43,27.43
45,2012-02-07,27.31,27.55
46,2012-02-08,27.9,27.72
47,2012-02-09,28.2,28.22
48,2012-02-10,27.55,27.35
49,2012-02-13,27.2,27.18
50,2012-02-14,27.18,27.18
51,2012-02-17,26.91,26.46
52,2012-02-21,27.21,27.31
53,2012-02-22,27.13,27.26
54,2012-02-23,26.84,26.95
55,2012-02-24,26.94,27.49
56,2012-02-27,27.48,27.48
57,2012-02-28,27.56,27.63
58,2012-02-29,27.23,27.23
59,2012-03-01,27.77,27.71
60,2012-03-02,27.67,27.69
61,2012-03-05,27.66,27.32
62,2012-03-06,26.67,26.64
63,2012-03-07,26.71,26.71
64,2012-03-09,27.3,27.18
65,2012-03-12,27.18,27.23
66,2012-03-13,27.57,27.6
67,2012-03-15,27.55,27.55
68,2012-03-16,27.4,27.38
69,2012-03-19,27.55,27.6
70,2012-03-20,27.27,27.15
71,2012-03-21,27.13,27.16
72,2012-03-22,26.65,26.65
73,2012-03-23,26.81,26.94
74,2012-03-26,27.46,27.42
75,2012-03-27,27.49,27.38
76,2012-03-28,26.8,26.8
77,2012-03-29,26.73,26.81
78,2012-03-30,27.13,27.13
79,2012-04-02,27.62,27.62
80,2012-04-03,27.46,27.46
81,2012-04-04,26.87,26.87
82,2012-04-09,26.3,26.44
83,2012-04-10,26.01,26.01
84,2012-04-11,25.76,25.72
85,2012-04-12,26.03,26.03
86,2012-04-13,25.7,25.6
87,2012-04-16,25.55,25.58
88,2012-04-17,25.75,25.84
89,2012-04-20,26.1,26.11
90,2012-04-23,25.59,25.66
91,2012-04-24,25.89,25.89
92,2012-04-25,26.17,26.17
93,2012-04-26,26.4,26.71
94,2012-04-27,28.0,26.91
95,2012-04-30,26.83,26.96
96,2012-05-01,26.99,27.02
97,2012-05-03,26.33,26.34
98,2012-05-04,26.3,26.1
99,2012-05-08,25.7,25.87
100,2012-05-09,25.71,25.71
101,2012-05-10,26.0,25.77
102,2012-05-11,25.53,25.53
103,2012-05-14,25.0,25.0
104,2012-05-16,24.21,24.38
105,2012-05-17,24.49,24.49
106,2012-05-22,24.64,24.45
107,2012-05-23,23.91,24.0
108,2012-05-30,24.0,23.82
109,2012-05-31,23.75,23.71
110,2012-06-01,23.38,23.38
111,2012-06-04,23.4,23.4
112,2012-06-05,23.28,23.27
113,2012-06-06,23.5,23.61
114,2012-06-07,23.97,23.97
115,2012-06-08,23.22,23.16
116,2012-06-15,23.98,24.0
117,2012-06-18,23.79,23.78
118,2012-06-20,24.0,24.0
119,2012-06-21,23.48,23.21
120,2012-06-22,23.26,23.26
121,2012-06-28,23.52,23.52
122,2012-07-05,24.49,24.39
123,2012-07-06,23.94,23.94
124,2012-07-09,24.02,24.02
125,2012-07-16,24.53,24.56
126,2012-07-18,24.4,24.46
127,2012-07-23,23.68,23.68
128,2012-07-24,23.66,23.66
129,2012-07-26,24.27,24.0
130,2012-07-27,24.15,24.22
131,2012-07-30,24.2,24.2
132,2012-08-02,23.62,23.34
133,2012-08-06,23.76,23.98
134,2012-08-07,24.24,24.24
135,2012-08-09,24.07,24.07
136,2012-08-10,23.76,23.89
137,2012-08-14,23.64,23.64
138,2012-08-17,23.98,24.0
139,2012-08-20,23.7,23.7
140,2012-08-21,24.15,24.15
